Order,Event,Name,MMA Record,UFC Record,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Fight Minutes,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Distance %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Controlled %,WRESTLING/GRAPPLING PREVALENCE & EFFICIENCY_Control Rate,TAKEDOWN EFFICIENCY_Landed,TAKEDOWN EFFICIENCY_Attempted,TAKEDOWN EFFICIENCY_Accuracy,TAKEDOWN EFFICIENCY_Conceded,TAKEDOWN EFFICIENCY_Defended,TAKEDOWN EFFICIENCY_Faced,TAKEDOWN EFFICIENCY_Defense,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Landed,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Attempted,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Conceded,TAKEDOWN PACE (PER 5 MINUTES AT DISTANCE)_Faced,CLINCH + GROUND STRIKING PREVALENCE_% of Time,CLINCH + GROUND STRIKING PREVALENCE_% of Strikes,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Landed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Absorbed,CLINCH + GROUND STRIKING PACE (PER MINUTE IN CLINCH/GROUND)_Differential,CLINCH + GROUND STRIKING EFFICIENCY_Accuracy,CLINCH + GROUND STRIKING EFFICIENCY_Defense,CLINCH STRIKING_% of Strikes Landed,CLINCH STRIKING_Accuracy,CLINCH STRIKING_% of Strikes Absorbed,CLINCH STRIKING_Defense,GROUND STRIKING_% of Strikes Landed,GROUND STRIKING_Accuracy,GROUND STRIKING_% of Strikes Absorbed,GROUND STRIKING_Defense,SUBMISSION ATTEMPTS_Attempts,SUBMISSION ATTEMPTS_per 5 Control Minutes,SUBMISSION ATTEMPTS_Success Rate,SUBMISSION ATTEMPTS_Attempts Faced,SUBMISSION ATTEMPTS_per 5 Controlled Minutes,SUBMISSION ATTEMPTS_Defense Rate,REVERSALS_Secured,REVERSALS_per 5 Controlled Minutes,REVERSALS_Conceded,REVERSALS_per 5 Control Minutes
11a,UFC FN: Du Plessis vs. Usman,Anna Melisano,6-1-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11b,UFC FN: Du Plessis vs. Usman,Dione Barbosa,9-4-0,3-2-0,64,44%,27%,29%,48%,10,24,42%,7,14,21,67%,1.8,4.2,1.2,3.7,56%,20%,0.8,0.6,0.2,83%,48%,10%,83%,6%,18%,9%,82%,9%,58%,5,1.5,20%,2,0.5,100%,3,0.8,5,1.5
12a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Ankalaev,21-2-1,12-2-1,189,69%,27%,4%,88%,10,45,22%,3,21,24,88%,0.4,1.7,0.1,0.9,31%,29%,3.4,1.1,2.3,75%,29%,11%,79%,8%,25%,18%,72%,5%,33%,0,0.0,,1,0.7,0%,2,1.5,0,0.0
12b,UFC FN: Ankalaev vs. Rountree Jr,Khalil Rountree Jr.,15-7-0,10-7-0,175,88%,2%,10%,15%,0,1,0%,14,20,34,59%,0.0,0.0,0.5,1.1,12%,9%,3.0,3.5,-0.5,65%,21%,5%,68%,4%,24%,4%,61%,6%,19%,1,1.6,0%,1,0.3,0%,0,0.0,0,0.0
13a,UFC FN: Ankalaev vs. Rountree Jr,Steve Erceg,14-4-0,5-3-0,120,76%,12%,12%,49%,9,32,28%,15,31,46,67%,0.5,1.8,0.8,2.5,24%,11%,2.2,2.5,-0.2,86%,25%,10%,86%,9%,23%,2%,90%,5%,28%,3,1.1,0%,0,0.0,,2,0.7,1,0.4
13b,UFC FN: Ankalaev vs. Rountree Jr,Ramazan Temirov,19-3-0,2-0-0,18,90%,3%,7%,26%,1,2,50%,0,3,3,100%,0.3,0.6,0.0,0.9,10%,15%,6.8,11.3,-4.5,46%,26%,12%,47%,29%,26%,4%,43%,0%,,0,0.0,,0,0.0,,0,0.0,0,0.0
14a,UFC FN: Ankalaev vs. Rountree Jr,Islam Dulatov,12-1-0,1-0-0,4,75%,1%,24%,3%,0,0,,0,3,3,100%,0.0,0.0,0.0,4.9,25%,24%,4.9,1.0,3.9,83%,75%,10%,67%,7%,75%,14%,100%,0%,,0,0.0,,0,0.0,,0,0.0,0,0.0
14b,UFC FN: Ankalaev vs. Rountree Jr,Wellington Turman,18-8-0,3-6-0,97,44%,29%,27%,52%,10,48,21%,12,9,21,43%,1.2,5.7,1.4,2.5,56%,24%,1.4,2.6,-1.2,81%,19%,16%,88%,14%,13%,8%,69%,21%,23%,5,0.9,20%,4,0.8,75%,0,0.0,3,0.5
15a,UFC FN: Ankalaev vs. Rountree Jr,Magomed Zaynukov,8-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15b,UFC FN: Ankalaev vs. Rountree Jr,Damian Rzepecki,10-0-0,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16a,UFC FN: Ankalaev vs. Rountree Jr,Rizvan Kuniev,13-3-1,1-1-0,30,54%,23%,23%,51%,0,0,,2,21,23,91%,0.0,0.0,0.6,7.1,46%,35%,2.3,1.5,0.8,72%,13%,35%,72%,23%,13%,0%,,0%,,0,0.0,,0,0.0,,0,0.0,0,0.0
