fight_id,event_date,weight_class,is_title_bout,is_main_event,a_name,b_name,a_archetype,b_archetype,a_short_notice,b_short_notice,a_long_layoff,b_long_layoff,a_age,b_age,a_ufc_fights,b_ufc_fights,a_win_rate_l3,b_win_rate_l3,a_finish_rate,b_finish_rate,a_recent_1,b_recent_1,prob_a,confidence,confidence_bucket,model_pick,a_won,correct,fav_hit,fm_blend_a,fm_blend_b,fm_prob_a,fm_pick,fm_correct,v2_fm_agree,ensemble_prob_a,ensemble_pick,ensemble_correct
5727d5be8c373346,2026-06-14,Heavyweight,1,1,Alex Pereira,Ciryl Gane,Volume Striker,Counter Striker,0,0,0,0,38.9,36.2,12,13,0.6667,0.6667,0.8,0.6,W,D,0.5261,0.5261,tossup (50-55%),A,0,0,0,2153.4,2254.8,0.358080445727421,B,1.0,False,0.44209022286371047,B,1.0
57bd683efc797fc1,2026-05-16,Catch Weight,0,0,Christian Edwards,Modestas Bukauskas,Point Fighter,Volume Striker,0,0,0,0,27.5,32.3,0,12,0.0,0.6667,0.0,0.5714,,L,0.4981,0.5019,tossup (50-55%),B,0,1,1,1426.95,1641.2000000000003,0.22560050243408675,B,1.0,True,0.3618502512170434,B,1.0
58ffa2dac4f2e7d0,2026-06-06,Lightweight,0,0,Fares Ziam,Tom Nolan,Counter Striker,Volume Striker,0,0,0,0,29.2,26.2,10,5,1.0,1.0,0.25,0.5,W,W,0.6464,0.6464,med (60-70%),A,0,0,0,1794.0500000000002,1785.25,0.5126615105490261,A,0.0,True,0.579530755274513,A,0.0
5a209522211d7530,2026-04-18,Women's Flyweight,0,0,Jasmine Jasudavicius,Karine Silva,Sub Specialist,Sub Specialist,0,0,0,0,37.1,32.4,11,7,0.6667,0.3333,0.375,0.6,L,L,0.5469,0.5469,tossup (50-55%),A,1,1,1,1733.7000000000003,1553.5500000000002,0.7382759103873164,A,1.0,True,0.6425879551936582,A,1.0
5b49c3d36907c6df,2026-04-11,Welterweight,0,0,Charles Radtke,Francisco Prado,Sub Specialist,Volume Striker,0,0,0,0,35.8,23.8,6,5,0.6667,0.0,0.75,1.0,W,L,0.5418,0.5418,tossup (50-55%),A,1,1,1,1673.2,1438.7,0.7941117274730732,A,1.0,True,0.6679558637365366,A,1.0
5c69b019e6deee41,2026-06-06,Welterweight,0,1,Belal Muhammad,Gabriel Bonfim,Volume Striker,Sub Specialist,0,0,0,0,37.9,28.8,21,7,0.3333,1.0,0.2,0.6667,L,W,0.3818,0.6182,med (60-70%),B,0,1,1,1958.2000000000003,2067.8,0.34730460856691686,B,1.0,True,0.3645523042834584,B,1.0
5c73e0013b859664,2026-01-31,Road to 4 Bantamweight Tournament,1,0,Lawrence Lui,Sulangrangbo,Point Fighter,Point Fighter,0,0,0,0,29.5,20.5,0,0,0.0,0.0,0.0,0.0,,,0.3883,0.6117,med (60-70%),B,1,0,0,,,,TIE,,False,,B,
5c7c38dece435cde,2026-05-02,Lightweight,0,0,Beneil Dariush,Quillan Salkilld,Point Fighter,Wrestler,0,0,0,0,37.0,26.3,25,4,0.3333,1.0,0.4706,0.75,L,W,0.2235,0.7765,high (>=70%),B,0,1,1,1837.9,1908.1000000000001,0.40032678626805224,B,1.0,True,0.3119133931340261,B,1.0
5e7f4ba1210f433d,2026-06-27,Middleweight,0,0,Andrey Pulyaev,Nursulton Ruziboev,Point Fighter,Point Fighter,0,0,0,0,28.8,32.6,3,5,0.3333,0.6667,1.0,0.75,L,W,0.4862,0.5138,tossup (50-55%),B,0,1,1,1434.75,1866.9,0.07672812836684823,B,1.0,True,0.2814640641834241,B,1.0
5ee11b727e89e8ad,2026-03-21,Welterweight,0,0,Michael Page,Sam Patterson,Point Fighter,Volume Striker,0,0,0,0,39.0,29.9,4,5,0.6667,1.0,0.0,1.0,W,W,0.3829,0.6171,med (60-70%),B,1,0,0,2104.2,1781.75,0.8648500700514642,A,1.0,False,0.623875035025732,A,1.0
