name,height,reach,age,rank,total_rounds,title_bouts,dias_inativo,wins,losses,win_streak,lose_streak,longest_win_streak,ko_wins,sub_wins,SLpM,sig_str_acc,td_avg,td_acc,sub_avg,ctrl_avg,kd_per_fight,head_ratio,body_ratio,leg_ratio,distance_ratio,clinch_ratio,ground_ratio,sig_pct_fade,td_fade,ctrl_fade,rev_avg,finish_rate,ko_rate,sub_rate,SApM,str_def,td_def,ufc_debut,win_rate_l5,win_rate_l3
Jerome Rivera,177.8,182.88,26,,9,0,1773,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.441111111111111,0.0,0.0,0.0,22.33333333333333,0.0,0.3333333333333333,0.1746031746031746,0.492063492063492,0.8412698412698413,0.1587301587301587,0.0,0.23,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,3.333333333333333,0.465648854961832,0.3333333333333333,2020-09-19,0.0,0.0
Michael Graves,177.8,180.34,25,,3,0,3684,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.687638786084382,0.5475,4.5,0.5294117647058824,0.5,433.0,0.0,0.8421052631578947,0.1052631578947368,0.0526315789473684,0.3157894736842105,0.2368421052631578,0.4473684210526316,-0.1049999999999999,-5.0,-210.0,0.5,0.5,0.0,0.5,1.687638786084382,0.5,1.0,2015-07-12,1.0,1.0
Jason Gonzalez,187.96,187.96,29,,4,0,2578,1.0,3.0,0.0,2.0,1.0,0.0,1.0,2.805194805194805,0.3516666666666667,0.0,0.0,0.3333333333333333,2.333333333333333,0.0,0.7222222222222222,0.1944444444444444,0.0833333333333333,0.8055555555555556,0.1666666666666666,0.0277777777777777,0.175,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,3.1948051948051948,0.6019417475728155,0.375,2016-09-10,0.3333333333333333,0.3333333333333333
Roger Gracie,193.04,200.66,31,,0,0,4699,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2013-07-06,,
Chris Spang,187.96,194.0,25,,0,0,4790,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2013-04-06,,
Vagner Rocha,177.8,185.42,32,,6,0,4210,1.0,3.0,0.0,2.0,1.0,0.0,1.0,2.800788954635108,0.4244444444444444,1.0,0.3333333333333333,1.3333333333333333,131.33333333333334,0.0,0.6901408450704225,0.1126760563380281,0.1971830985915492,0.8450704225352113,0.0140845070422535,0.1408450704225352,0.0066666666666666,-1.0,-56.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,4.694280078895464,0.449074074074074,0.5,2011-06-11,0.3333333333333333,0.3333333333333333
Andreas Michailidis,182.88,193.04,33,,6,0,1444,1.0,3.0,0.0,2.0,1.0,0.0,0.0,3.9130434782608696,0.3944444444444444,1.0,0.3333333333333333,0.0,122.33333333333331,0.0,0.5757575757575758,0.2626262626262626,0.1616161616161616,0.898989898989899,0.0606060606060606,0.0404040404040404,-0.35,2.0,230.0,0.0,0.6666666666666666,0.6666666666666666,0.0,3.9130434782608696,0.5,1.0,2020-07-15,0.3333333333333333,0.3333333333333333
Kiru Sahota,177.8,185.42,29,,6,0,541,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2024-11-23,,
Alex Nicholson,193.04,205.74,27,,6,0,3277,1.0,3.0,0.0,2.0,1.0,1.0,0.0,4.391167192429022,0.4622222222222221,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5775862068965517,0.1896551724137931,0.2327586206896551,0.9310344827586208,0.043103448275862,0.0258620689655172,0.0866666666666666,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,4.126182965299685,0.5067873303167421,0.5555555555555556,2016-02-06,0.3333333333333333,0.3333333333333333
Jon Fitch,182.88,193.04,34,,47,1,4853,14.0,4.0,0.0,1.0,8.0,1.0,3.0,2.720732504905167,0.4898627450980393,3.411764705882353,0.5471698113207547,0.7647058823529411,451.2941176470589,0.1176470588235294,0.6586538461538461,0.2051282051282051,0.1362179487179487,0.2900641025641026,0.2179487179487179,0.4919871794871794,-0.0939523809523809,0.5428571428571431,-1.9428571428571784,0.1764705882352941,0.2941176470588235,0.1176470588235294,0.1764705882352941,1.6854778028592927,0.5213675213675213,0.5609756097560976,2010-03-27,0.75,0.6666666666666666
Duda Santana,170.18,185.42,23,,0,0,2543,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2019-06-01,,
Weili Zhang,162.56,160.02,30,0.0,8,1,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-04,1.0,1.0
Austin Hubbard,177.8,180.34,33,,29,0,268,4.0,8.0,0.0,3.0,1.0,1.0,0.0,3.8657243816254416,0.4574242424242424,1.3636363636363635,0.3191489361702128,0.0909090909090909,143.36363636363637,0.0,0.5173674588665448,0.2669104204753199,0.2157221206581352,0.8720292504570384,0.0658135283363802,0.0621572212065813,-0.0913333333333333,1.2000000000000002,26.46666666666667,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.1818181818181818,3.8162544169611303,0.5620437956204379,0.6818181818181819,2019-05-18,0.2,0.3333333333333333
Lyman Good,182.88,187.96,35,,10,0,2158,3.0,3.0,0.0,1.0,1.0,3.0,0.0,5.322175732217573,0.4223333333333333,0.2,1.0,0.0,15.4,0.6,0.7547169811320755,0.1415094339622641,0.1037735849056603,0.7405660377358491,0.1933962264150943,0.0660377358490566,-0.146111111111111,0.0,-21.0,0.0,0.8,0.6,0.2,3.4644351464435146,0.6737588652482269,0.75,2015-07-15,0.6,0.6666666666666666
Song Kenan,182.88,180.34,34,,23,0,541,6.0,5.0,0.0,1.0,2.0,3.0,0.0,4.565844280679269,0.5148333333333333,0.3,0.3333333333333333,0.0,18.7,0.5,0.6463157894736842,0.1768421052631578,0.1768421052631578,0.8378947368421052,0.1157894736842105,0.0463157894736842,-0.1344444444444444,0.75,28.666666666666668,0.1,0.5,0.5,0.0,5.844280679269465,0.5159235668789809,0.7272727272727273,2017-11-25,0.6,0.6666666666666666
Daniel Teymur,165.1,175.26,31,,11,0,2347,1.0,4.0,0.0,1.0,1.0,0.0,0.0,3.32088285229202,0.43875,0.5,0.1818181818181818,0.0,138.75,0.0,0.5214723926380368,0.1226993865030674,0.3558282208588957,0.6871165644171779,0.1656441717791411,0.147239263803681,0.0291666666666666,1.0,6.5,0.0,0.5,0.0,0.5,3.891341256366723,0.5727069351230425,0.5882352941176471,2017-07-16,0.25,0.3333333333333333
Nyamjargal Tumendemberel,170.18,180.34,27,,8,0,72,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0689655172413794,0.37,1.0,0.4,1.0,28.5,0.5,0.6216216216216216,0.2702702702702703,0.1081081081081081,0.8378378378378378,0.081081081081081,0.081081081081081,0.1999999999999999,2.0,27.0,0.5,0.5,0.0,0.5,3.0754892823858344,0.5833333333333333,0.7333333333333334,2024-11-23,0.0,0.0
Rafael Dos Anjos,172.72,177.8,40,,111,4,569,21.0,15.0,0.0,3.0,5.0,4.0,5.0,3.483982241527994,0.4832333333333333,1.9428571428571428,0.3560209424083769,0.5714285714285714,234.42857142857144,0.2,0.5836083608360836,0.2381738173817381,0.1782178217821782,0.671067106710671,0.1765676567656765,0.1523652365236523,0.1942785547785547,-0.0279720279720279,95.32167832167832,0.0857142857142857,0.3714285714285714,0.2,0.1714285714285714,3.208023252100035,0.6037869822485207,0.5515151515151515,2010-04-10,0.4,0.3333333333333333
